date,optics,simple,none
2022-06-09T17:06:00+02:00,30,0,0
2022-06-09T17:07:00+02:00,46,0,0
2022-06-09T17:08:00+02:00,69,0,0
2022-06-09T17:09:00+02:00,100,0,0
2022-06-09T17:10:00+02:00,116,0,0
2022-06-09T17:11:00+02:00,117,3,5
2022-06-09T17:12:00+02:00,154,6,10
2022-06-09T17:13:00+02:00,135,11,15
2022-06-09T17:14:00+02:00,137,15,20
2022-06-09T17:15:00+02:00,142,24,30
2022-06-09T17:16:00+02:00,141,26,32
2022-06-09T17:17:00+02:00,166,31,37
2022-06-09T17:18:00+02:00,174,35,42
2022-06-09T17:19:00+02:00,180,37,46
2022-06-09T17:20:00+02:00,193,38,47
2022-06-09T17:21:00+02:00,223,40,49
2022-06-09T17:22:00+02:00,223,38,47
2022-06-09T17:23:00+02:00,212,40,49
2022-06-09T17:24:00+02:00,204,41,52
2022-06-09T17:25:00+02:00,229,42,53
2022-06-09T17:26:00+02:00,250,43,54
2022-06-09T17:27:00+02:00,210,44,56
2022-06-09T17:28:00+02:00,205,45,55
2022-06-09T17:29:00+02:00,213,39,50
2022-06-09T17:30:00+02:00,230,39,50
2022-06-09T17:31:00+02:00,250,42,53
2022-06-09T17:32:00+02:00,260,44,54
2022-06-09T17:33:00+02:00,256,41,51
2022-06-09T17:34:00+02:00,228,42,53
2022-06-09T17:35:00+02:00,220,44,54
2022-06-09T17:36:00+02:00,238,43,54
2022-06-09T17:37:00+02:00,243,43,54
2022-06-09T17:38:00+02:00,238,43,51
2022-06-09T17:39:00+02:00,260,44,53
2022-06-09T17:40:00+02:00,235,44,53
2022-06-09T17:41:00+02:00,250,46,55
2022-06-09T17:42:00+02:00,259,45,54
2022-06-09T17:43:00+02:00,256,48,56
2022-06-09T17:44:00+02:00,252,49,58
2022-06-09T17:45:00+02:00,263,48,58
2022-06-09T17:46:00+02:00,237,52,62
2022-06-09T17:47:00+02:00,258,48,57
2022-06-09T17:48:00+02:00,284,47,57
2022-06-09T17:49:00+02:00,279,49,58
2022-06-09T17:50:00+02:00,281,48,57
2022-06-09T17:51:00+02:00,308,47,56
2022-06-09T17:52:00+02:00,309,48,57
2022-06-09T17:53:00+02:00,304,47,56
2022-06-09T17:54:00+02:00,306,47,58
2022-06-09T17:55:00+02:00,319,47,56
2022-06-09T17:56:00+02:00,298,45,53
2022-06-09T17:57:00+02:00,293,45,53
2022-06-09T17:58:00+02:00,340,41,50
2022-06-09T17:59:00+02:00,276,43,51
2022-06-09T18:00:00+02:00,270,41,49
2022-06-09T18:01:00+02:00,262,39,46
2022-06-09T18:02:00+02:00,259,38,45
2022-06-09T18:03:00+02:00,292,39,46
2022-06-09T18:04:00+02:00,277,40,47
2022-06-09T18:05:00+02:00,275,40,47
2022-06-09T18:06:00+02:00,272,44,52
2022-06-09T18:07:00+02:00,250,43,49
2022-06-09T18:08:00+02:00,263,39,47
2022-06-09T18:09:00+02:00,265,35,43
2022-06-09T18:10:00+02:00,269,35,44
2022-06-09T18:11:00+02:00,272,36,45
2022-06-09T18:12:00+02:00,238,34,43
2022-06-09T18:13:00+02:00,269,35,44
2022-06-09T18:14:00+02:00,246,36,45
2022-06-09T18:15:00+02:00,245,36,46
2022-06-09T18:16:00+02:00,237,35,45
2022-06-09T18:17:00+02:00,245,33,43
2022-06-09T18:18:00+02:00,255,33,42
2022-06-09T18:19:00+02:00,232,35,45
2022-06-09T18:20:00+02:00,249,34,43
2022-06-09T18:21:00+02:00,216,32,42
2022-06-09T18:22:00+02:00,222,30,40
2022-06-09T18:23:00+02:00,217,33,44
2022-06-09T18:24:00+02:00,187,33,43
2022-06-09T18:25:00+02:00,200,33,41
2022-06-09T18:26:00+02:00,193,30,39
2022-06-09T18:27:00+02:00,205,30,37
2022-06-09T18:28:00+02:00,207,32,40
2022-06-09T18:29:00+02:00,182,32,39
2022-06-09T18:30:00+02:00,186,34,42
2022-06-09T18:31:00+02:00,208,35,42
2022-06-09T18:32:00+02:00,191,35,41
2022-06-09T18:33:00+02:00,185,31,37
2022-06-09T18:34:00+02:00,166,36,42
2022-06-09T18:35:00+02:00,175,33,40
2022-06-09T18:36:00+02:00,168,34,41
2022-06-09T18:37:00+02:00,172,33,40
2022-06-09T18:38:00+02:00,166,34,40
2022-06-09T18:39:00+02:00,193,35,42
2022-06-09T18:40:00+02:00,170,35,43
2022-06-09T18:41:00+02:00,174,36,44
2022-06-09T18:42:00+02:00,175,35,42
2022-06-09T18:43:00+02:00,181,35,42
2022-06-09T18:44:00+02:00,192,37,45
2022-06-09T18:45:00+02:00,227,37,45
2022-06-09T18:46:00+02:00,215,35,44
2022-06-09T18:47:00+02:00,218,34,42
2022-06-09T18:48:00+02:00,210,39,45
2022-06-09T18:49:00+02:00,224,43,48
2022-06-09T18:50:00+02:00,206,46,53
2022-06-09T18:51:00+02:00,219,48,53
2022-06-09T18:52:00+02:00,227,49,54
2022-06-09T18:53:00+02:00,236,47,52
2022-06-09T18:54:00+02:00,232,46,53
2022-06-09T18:55:00+02:00,222,45,51
2022-06-09T18:56:00+02:00,225,42,48
2022-06-09T18:57:00+02:00,211,44,50
2022-06-09T18:58:00+02:00,207,43,51
