date,optics,simple,none
2022-06-07T16:59:00+02:00,18,0,0
2022-06-07T17:00:00+02:00,40,0,0
2022-06-07T17:01:00+02:00,60,0,0
2022-06-07T17:02:00+02:00,63,0,0
2022-06-07T17:03:00+02:00,74,0,0
2022-06-07T17:04:00+02:00,76,2,2
2022-06-07T17:05:00+02:00,93,8,10
2022-06-07T17:06:00+02:00,100,14,17
2022-06-07T17:07:00+02:00,109,15,18
2022-06-07T17:08:00+02:00,134,18,22
2022-06-07T17:09:00+02:00,141,18,22
2022-06-07T17:10:00+02:00,149,18,22
2022-06-07T17:11:00+02:00,151,21,26
2022-06-07T17:12:00+02:00,161,23,28
2022-06-07T17:13:00+02:00,159,25,30
2022-06-07T17:14:00+02:00,166,27,32
2022-06-07T17:15:00+02:00,153,28,32
2022-06-07T17:16:00+02:00,178,27,32
2022-06-07T17:17:00+02:00,179,27,31
2022-06-07T17:18:00+02:00,164,25,30
2022-06-07T17:19:00+02:00,154,25,30
2022-06-07T17:20:00+02:00,164,27,31
2022-06-07T17:21:00+02:00,176,28,33
2022-06-07T17:22:00+02:00,162,28,31
2022-06-07T17:23:00+02:00,172,27,31
2022-06-07T17:24:00+02:00,143,27,31
2022-06-07T17:25:00+02:00,132,26,30
2022-06-07T17:26:00+02:00,144,25,29
2022-06-07T17:27:00+02:00,149,26,30
2022-06-07T17:28:00+02:00,156,27,31
2022-06-07T17:29:00+02:00,153,27,31
2022-06-07T17:30:00+02:00,169,26,30
2022-06-07T17:31:00+02:00,139,27,31
2022-06-07T17:32:00+02:00,149,27,32
2022-06-07T17:33:00+02:00,157,29,34
2022-06-07T17:34:00+02:00,141,28,32
2022-06-07T17:35:00+02:00,152,26,31
2022-06-07T17:36:00+02:00,154,27,32
2022-06-07T17:37:00+02:00,149,29,34
2022-06-07T17:38:00+02:00,147,28,33
2022-06-07T17:39:00+02:00,136,29,34
2022-06-07T17:40:00+02:00,138,28,35
2022-06-07T17:41:00+02:00,150,27,35
2022-06-07T17:42:00+02:00,144,26,34
2022-06-07T17:43:00+02:00,142,27,34
2022-06-07T17:44:00+02:00,129,28,35
2022-06-07T17:45:00+02:00,144,27,34
2022-06-07T17:46:00+02:00,137,29,35
2022-06-07T17:47:00+02:00,140,29,35
2022-06-07T17:48:00+02:00,150,30,35
2022-06-07T17:49:00+02:00,138,30,35
2022-06-07T17:50:00+02:00,153,31,37
2022-06-07T17:51:00+02:00,149,29,35
2022-06-07T17:52:00+02:00,162,28,33
2022-06-07T17:53:00+02:00,154,29,34
2022-06-07T17:54:00+02:00,153,27,31
2022-06-07T17:55:00+02:00,144,30,34
2022-06-07T17:56:00+02:00,144,28,32
2022-06-07T17:57:00+02:00,155,32,36
2022-06-07T17:58:00+02:00,161,32,36
2022-06-07T17:59:00+02:00,160,33,37
2022-06-07T18:00:00+02:00,162,33,37
2022-06-07T18:01:00+02:00,169,31,36
2022-06-07T18:02:00+02:00,159,31,36
2022-06-07T18:03:00+02:00,168,32,38
2022-06-07T18:04:00+02:00,176,31,38
2022-06-07T18:05:00+02:00,175,31,38
2022-06-07T18:06:00+02:00,190,31,38
2022-06-07T18:07:00+02:00,192,31,38
2022-06-07T18:08:00+02:00,183,30,37
2022-06-07T18:09:00+02:00,183,29,36
2022-06-07T18:10:00+02:00,163,32,39
2022-06-07T18:11:00+02:00,189,34,41
2022-06-07T18:12:00+02:00,200,33,39
2022-06-07T18:13:00+02:00,198,33,38
2022-06-07T18:14:00+02:00,185,29,34
2022-06-07T18:15:00+02:00,211,27,32
2022-06-07T18:16:00+02:00,195,30,34
2022-06-07T18:17:00+02:00,219,29,33
2022-06-07T18:18:00+02:00,200,30,34
2022-06-07T18:19:00+02:00,196,29,33
2022-06-07T18:20:00+02:00,187,30,34
2022-06-07T18:21:00+02:00,178,28,31
2022-06-07T18:22:00+02:00,170,27,30
2022-06-07T18:23:00+02:00,171,26,31
2022-06-07T18:24:00+02:00,186,26,31
2022-06-07T18:25:00+02:00,185,26,31
2022-06-07T18:26:00+02:00,178,26,31
2022-06-07T18:27:00+02:00,154,26,31
2022-06-07T18:28:00+02:00,172,26,30
2022-06-07T18:29:00+02:00,169,26,32
2022-06-07T18:30:00+02:00,179,28,33
2022-06-07T18:31:00+02:00,176,25,32
2022-06-07T18:32:00+02:00,165,27,35
2022-06-07T18:33:00+02:00,181,27,34
2022-06-07T18:34:00+02:00,199,24,30
2022-06-07T18:35:00+02:00,200,25,31
2022-06-07T18:36:00+02:00,190,25,31
2022-06-07T18:37:00+02:00,176,26,32
2022-06-07T18:38:00+02:00,196,27,31
2022-06-07T18:39:00+02:00,195,27,31
2022-06-07T18:40:00+02:00,189,27,31
2022-06-07T18:41:00+02:00,187,29,35
2022-06-07T18:42:00+02:00,170,26,32
2022-06-07T18:43:00+02:00,182,25,31
2022-06-07T18:44:00+02:00,172,26,33
2022-06-07T18:45:00+02:00,171,25,32
2022-06-07T18:46:00+02:00,165,26,33
2022-06-07T18:47:00+02:00,181,24,31
2022-06-07T18:48:00+02:00,181,21,28
2022-06-07T18:49:00+02:00,171,21,28
2022-06-07T18:50:00+02:00,153,21,28
2022-06-07T18:51:00+02:00,175,17,24
2022-06-07T18:52:00+02:00,146,17,24
2022-06-07T18:53:00+02:00,160,20,27
2022-06-07T18:54:00+02:00,155,20,28
2022-06-07T18:55:00+02:00,148,21,29
2022-06-07T18:56:00+02:00,148,21,28
2022-06-07T18:57:00+02:00,145,22,27
2022-06-07T18:58:00+02:00,153,22,28
2022-06-07T18:59:00+02:00,187,21,28
2022-06-07T19:00:00+02:00,183,20,26
2022-06-07T19:01:00+02:00,178,19,25
2022-06-07T19:02:00+02:00,176,23,30
2022-06-07T19:03:00+02:00,162,24,31
2022-06-07T19:04:00+02:00,198,22,29
2022-06-07T19:05:00+02:00,177,23,31
2022-06-07T19:06:00+02:00,189,26,33
2022-06-07T19:07:00+02:00,184,28,36
2022-06-07T19:08:00+02:00,199,31,39
2022-06-07T19:09:00+02:00,212,30,38
2022-06-07T19:10:00+02:00,205,28,36
2022-06-07T19:11:00+02:00,196,29,38
2022-06-07T19:12:00+02:00,197,32,40
2022-06-07T19:13:00+02:00,189,28,36
2022-06-07T19:14:00+02:00,205,29,37
2022-06-07T19:15:00+02:00,199,28,37
2022-06-07T19:16:00+02:00,188,27,36
2022-06-07T19:17:00+02:00,203,26,35
2022-06-07T19:18:00+02:00,198,27,36
2022-06-07T19:19:00+02:00,201,28,37
2022-06-07T19:20:00+02:00,197,28,37
2022-06-07T19:21:00+02:00,197,25,34
2022-06-07T19:22:00+02:00,199,24,33
2022-06-07T19:23:00+02:00,174,25,34
2022-06-07T19:24:00+02:00,170,24,32
2022-06-07T19:25:00+02:00,156,24,31
2022-06-07T19:26:00+02:00,165,23,30
2022-06-07T19:27:00+02:00,178,24,31
2022-06-07T19:28:00+02:00,173,23,30
2022-06-07T19:29:00+02:00,216,23,30
2022-06-07T19:30:00+02:00,191,24,31
2022-06-07T19:31:00+02:00,179,23,30
2022-06-07T19:32:00+02:00,191,24,31
2022-06-07T19:33:00+02:00,183,23,30
2022-06-07T19:34:00+02:00,178,23,30
2022-06-07T19:35:00+02:00,186,22,29
2022-06-07T19:36:00+02:00,174,21,28
2022-06-07T19:37:00+02:00,165,21,30
2022-06-07T19:38:00+02:00,181,20,29
2022-06-07T19:39:00+02:00,188,21,30
2022-06-07T19:40:00+02:00,186,21,29
2022-06-07T19:41:00+02:00,212,24,32
2022-06-07T19:42:00+02:00,206,25,34
2022-06-07T19:43:00+02:00,202,25,33
2022-06-07T19:44:00+02:00,203,27,35
2022-06-07T19:45:00+02:00,195,28,37
2022-06-07T19:46:00+02:00,208,29,36
2022-06-07T19:47:00+02:00,190,32,39
2022-06-07T19:48:00+02:00,215,32,40
2022-06-07T19:49:00+02:00,200,34,43
2022-06-07T19:50:00+02:00,217,35,43
2022-06-07T19:51:00+02:00,223,34,42
2022-06-07T19:52:00+02:00,228,36,43
2022-06-07T19:53:00+02:00,215,35,42
2022-06-07T19:54:00+02:00,210,36,43
2022-06-07T19:55:00+02:00,212,35,42
2022-06-07T19:56:00+02:00,229,32,38
2022-06-07T19:57:00+02:00,207,34,41
2022-06-07T19:58:00+02:00,209,33,39
2022-06-07T19:59:00+02:00,226,32,38
2022-06-07T20:00:00+02:00,197,29,35
