date,optics,simple,none
2022-06-08T17:15:00+02:00,5,0,0
2022-06-08T17:16:00+02:00,44,0,0
2022-06-08T17:17:00+02:00,56,0,0
2022-06-08T17:18:00+02:00,61,0,0
2022-06-08T17:19:00+02:00,78,0,0
2022-06-08T17:20:00+02:00,94,0,0
2022-06-08T17:21:00+02:00,104,9,9
2022-06-08T17:22:00+02:00,126,12,12
2022-06-08T17:23:00+02:00,122,18,19
2022-06-08T17:24:00+02:00,128,23,25
2022-06-08T17:25:00+02:00,134,27,29
2022-06-08T17:26:00+02:00,143,30,33
2022-06-08T17:27:00+02:00,137,30,33
2022-06-08T17:28:00+02:00,141,33,37
2022-06-08T17:29:00+02:00,158,35,39
2022-06-08T17:30:00+02:00,177,36,40
2022-06-08T17:31:00+02:00,174,36,40
2022-06-08T17:32:00+02:00,194,36,40
2022-06-08T17:33:00+02:00,184,37,41
2022-06-08T17:34:00+02:00,179,38,42
2022-06-08T17:35:00+02:00,194,39,42
2022-06-08T17:36:00+02:00,190,38,41
2022-06-08T17:37:00+02:00,195,38,42
2022-06-08T17:38:00+02:00,188,38,42
2022-06-08T17:39:00+02:00,191,40,44
2022-06-08T17:40:00+02:00,209,39,43
2022-06-08T17:41:00+02:00,220,38,41
2022-06-08T17:42:00+02:00,209,37,40
2022-06-08T17:43:00+02:00,205,36,40
2022-06-08T17:44:00+02:00,203,36,40
2022-06-08T17:45:00+02:00,230,37,41
2022-06-08T17:46:00+02:00,237,38,41
2022-06-08T17:47:00+02:00,249,40,44
2022-06-08T17:48:00+02:00,225,38,42
2022-06-08T17:49:00+02:00,231,40,44
2022-06-08T17:50:00+02:00,244,40,44
2022-06-08T17:51:00+02:00,249,40,44
2022-06-08T17:52:00+02:00,259,41,45
2022-06-08T17:53:00+02:00,219,41,44
2022-06-08T17:54:00+02:00,224,38,41
2022-06-08T17:55:00+02:00,233,37,42
2022-06-08T17:56:00+02:00,237,39,44
2022-06-08T17:57:00+02:00,219,36,41
2022-06-08T17:58:00+02:00,197,37,42
2022-06-08T17:59:00+02:00,209,37,42
2022-06-08T18:00:00+02:00,209,42,47
2022-06-08T18:01:00+02:00,210,41,47
2022-06-08T18:02:00+02:00,199,39,46
2022-06-08T18:03:00+02:00,200,38,47
2022-06-08T18:04:00+02:00,199,39,47
2022-06-08T18:05:00+02:00,226,43,51
2022-06-08T18:06:00+02:00,206,44,51
2022-06-08T18:07:00+02:00,222,44,52
2022-06-08T18:08:00+02:00,218,45,53
2022-06-08T18:09:00+02:00,215,42,49
2022-06-08T18:10:00+02:00,212,40,45
2022-06-08T18:11:00+02:00,235,41,48
2022-06-08T18:12:00+02:00,231,41,48
2022-06-08T18:13:00+02:00,243,40,47
2022-06-08T18:14:00+02:00,258,40,47
2022-06-08T18:15:00+02:00,229,40,46
2022-06-08T18:16:00+02:00,214,37,43
2022-06-08T18:17:00+02:00,227,40,45
2022-06-08T18:18:00+02:00,223,36,42
2022-06-08T18:19:00+02:00,238,36,41
2022-06-08T18:20:00+02:00,219,36,43
2022-06-08T18:21:00+02:00,223,34,40
2022-06-08T18:22:00+02:00,198,35,39
2022-06-08T18:23:00+02:00,204,32,37
2022-06-08T18:24:00+02:00,199,32,38
2022-06-08T18:25:00+02:00,203,33,37
2022-06-08T18:26:00+02:00,204,32,35
2022-06-08T18:27:00+02:00,214,32,34
2022-06-08T18:28:00+02:00,209,33,35
2022-06-08T18:29:00+02:00,199,30,33
2022-06-08T18:30:00+02:00,195,28,31
2022-06-08T18:31:00+02:00,190,29,32
2022-06-08T18:32:00+02:00,191,32,35
2022-06-08T18:33:00+02:00,194,32,35
2022-06-08T18:34:00+02:00,197,34,38
2022-06-08T18:35:00+02:00,194,35,40
2022-06-08T18:36:00+02:00,192,35,39
2022-06-08T18:37:00+02:00,188,37,42
2022-06-08T18:38:00+02:00,183,35,38
2022-06-08T18:39:00+02:00,188,36,39
2022-06-08T18:40:00+02:00,192,35,38
2022-06-08T18:41:00+02:00,182,35,37
2022-06-08T18:42:00+02:00,190,36,38
2022-06-08T18:43:00+02:00,189,35,37
2022-06-08T18:44:00+02:00,191,35,37
2022-06-08T18:45:00+02:00,187,34,36
2022-06-08T18:46:00+02:00,194,34,37
2022-06-08T18:47:00+02:00,195,32,35
2022-06-08T18:48:00+02:00,197,32,35
2022-06-08T18:49:00+02:00,202,33,36
2022-06-08T18:50:00+02:00,203,33,36
2022-06-08T18:51:00+02:00,190,33,36
2022-06-08T18:52:00+02:00,209,30,33
2022-06-08T18:53:00+02:00,203,32,36
2022-06-08T18:54:00+02:00,209,34,39
2022-06-08T18:55:00+02:00,180,35,41
2022-06-08T18:56:00+02:00,200,38,42
2022-06-08T18:57:00+02:00,195,35,39
2022-06-08T18:58:00+02:00,186,35,39
2022-06-08T18:59:00+02:00,202,35,36
2022-06-08T19:00:00+02:00,214,31,34
2022-06-08T19:01:00+02:00,221,29,32
2022-06-08T19:02:00+02:00,216,30,33
2022-06-08T19:03:00+02:00,198,33,36
2022-06-08T19:04:00+02:00,196,34,38
2022-06-08T19:05:00+02:00,188,35,37
2022-06-08T19:06:00+02:00,188,33,36
2022-06-08T19:07:00+02:00,191,32,36
2022-06-08T19:08:00+02:00,187,32,36
2022-06-08T19:09:00+02:00,197,31,36
2022-06-08T19:10:00+02:00,193,30,36
2022-06-08T19:11:00+02:00,196,32,37
2022-06-08T19:12:00+02:00,191,33,37
2022-06-08T19:13:00+02:00,191,35,40
2022-06-08T19:14:00+02:00,189,36,41
2022-06-08T19:15:00+02:00,190,35,40
2022-06-08T19:16:00+02:00,196,35,40
2022-06-08T19:17:00+02:00,200,34,39
2022-06-08T19:18:00+02:00,191,36,40
2022-06-08T19:19:00+02:00,202,36,40
2022-06-08T19:20:00+02:00,214,37,41
2022-06-08T19:21:00+02:00,205,36,39
2022-06-08T19:22:00+02:00,200,37,39
2022-06-08T19:23:00+02:00,209,38,39
2022-06-08T19:24:00+02:00,214,37,38
2022-06-08T19:25:00+02:00,221,38,40
2022-06-08T19:26:00+02:00,190,37,40
2022-06-08T19:27:00+02:00,184,37,41
2022-06-08T19:28:00+02:00,217,37,40
2022-06-08T19:29:00+02:00,210,36,40
2022-06-08T19:30:00+02:00,219,37,40
2022-06-08T19:31:00+02:00,235,36,40
2022-06-08T19:32:00+02:00,230,35,39
2022-06-08T19:33:00+02:00,212,34,40
2022-06-08T19:34:00+02:00,209,36,42
2022-06-08T19:35:00+02:00,220,41,47
2022-06-08T19:36:00+02:00,227,43,49
2022-06-08T19:37:00+02:00,212,42,48
2022-06-08T19:38:00+02:00,226,41,46
2022-06-08T19:39:00+02:00,232,40,46
2022-06-08T19:40:00+02:00,220,43,49
2022-06-08T19:41:00+02:00,218,44,50
2022-06-08T19:42:00+02:00,235,46,52
2022-06-08T19:43:00+02:00,232,46,52
2022-06-08T19:44:00+02:00,235,50,57
2022-06-08T19:45:00+02:00,231,48,54
2022-06-08T19:46:00+02:00,230,49,55
2022-06-08T19:47:00+02:00,245,46,52
2022-06-08T19:48:00+02:00,232,48,54
2022-06-08T19:49:00+02:00,225,45,51
2022-06-08T19:50:00+02:00,216,47,53
2022-06-08T19:51:00+02:00,217,46,51
2022-06-08T19:52:00+02:00,242,49,54
2022-06-08T19:53:00+02:00,215,51,59
2022-06-08T19:54:00+02:00,251,49,56
2022-06-08T19:55:00+02:00,243,48,56
2022-06-08T19:56:00+02:00,235,45,52
2022-06-08T19:57:00+02:00,263,43,50
2022-06-08T19:58:00+02:00,241,41,48
2022-06-08T19:59:00+02:00,220,44,50
2022-06-08T20:00:00+02:00,212,42,48
2022-06-08T20:01:00+02:00,222,42,50
2022-06-08T20:02:00+02:00,211,41,47
2022-06-08T20:03:00+02:00,207,43,50
2022-06-08T20:04:00+02:00,220,41,47
2022-06-08T20:05:00+02:00,214,41,47
2022-06-08T20:06:00+02:00,214,43,50
2022-06-08T20:07:00+02:00,214,42,49
2022-06-08T20:08:00+02:00,214,40,46
2022-06-08T20:09:00+02:00,218,42,48
2022-06-08T20:10:00+02:00,207,44,50
2022-06-08T20:11:00+02:00,208,44,49
2022-06-08T20:12:00+02:00,202,41,46
2022-06-08T20:13:00+02:00,215,37,44
2022-06-08T20:14:00+02:00,207,37,45
2022-06-08T20:15:00+02:00,198,33,41
2022-06-08T20:16:00+02:00,203,32,38
2022-06-08T20:17:00+02:00,188,32,38
2022-06-08T20:18:00+02:00,170,30,35
2022-06-08T20:19:00+02:00,166,32,36
2022-06-08T20:20:00+02:00,184,30,34
2022-06-08T20:21:00+02:00,184,23,29
2022-06-08T20:22:00+02:00,178,26,32
2022-06-08T20:23:00+02:00,164,27,34
2022-06-08T20:24:00+02:00,150,26,33
2022-06-08T20:25:00+02:00,174,27,33
2022-06-08T20:26:00+02:00,174,27,32
2022-06-08T20:27:00+02:00,155,27,33
2022-06-08T20:28:00+02:00,163,26,32
2022-06-08T20:29:00+02:00,169,27,33
2022-06-08T20:30:00+02:00,172,29,35
2022-06-08T20:31:00+02:00,183,29,35
2022-06-08T20:32:00+02:00,188,30,36
2022-06-08T20:33:00+02:00,199,28,34
2022-06-08T20:34:00+02:00,172,28,35
2022-06-08T20:35:00+02:00,196,28,36
2022-06-08T20:36:00+02:00,179,30,37
2022-06-08T20:37:00+02:00,193,29,36
2022-06-08T20:38:00+02:00,199,32,39
2022-06-08T20:39:00+02:00,179,38,46
2022-06-08T20:40:00+02:00,204,39,46
2022-06-08T20:41:00+02:00,185,42,50
2022-06-08T20:42:00+02:00,203,45,52
2022-06-08T20:43:00+02:00,207,43,50
2022-06-08T20:44:00+02:00,209,42,50
2022-06-08T20:45:00+02:00,225,44,51
2022-06-08T20:46:00+02:00,218,45,52
2022-06-08T20:47:00+02:00,227,45,52
2022-06-08T20:48:00+02:00,235,48,55
2022-06-08T20:49:00+02:00,253,47,54
2022-06-08T20:50:00+02:00,264,46,53
2022-06-08T20:51:00+02:00,302,43,50
2022-06-08T20:52:00+02:00,258,45,53
2022-06-08T20:53:00+02:00,269,44,51
2022-06-08T20:54:00+02:00,248,47,54
2022-06-08T20:55:00+02:00,285,47,54
2022-06-08T20:56:00+02:00,317,45,52
2022-06-08T20:57:00+02:00,295,45,51
2022-06-08T20:58:00+02:00,282,44,51
2022-06-08T20:59:00+02:00,257,50,55
