date,optics,simple
2022-06-06T17:40:00+02:00,27,0
2022-06-06T17:41:00+02:00,61,0
2022-06-06T17:42:00+02:00,76,0
2022-06-06T17:43:00+02:00,98,0
2022-06-06T17:44:00+02:00,108,1
2022-06-06T17:45:00+02:00,117,1
2022-06-06T17:46:00+02:00,120,7
2022-06-06T17:47:00+02:00,132,12
2022-06-06T17:48:00+02:00,141,15
2022-06-06T17:49:00+02:00,155,17
2022-06-06T17:50:00+02:00,157,23
2022-06-06T17:51:00+02:00,167,27
2022-06-06T17:52:00+02:00,191,28
2022-06-06T17:53:00+02:00,197,29
2022-06-06T17:54:00+02:00,201,33
2022-06-06T17:55:00+02:00,203,34
2022-06-06T17:56:00+02:00,191,34
2022-06-06T17:57:00+02:00,199,34
2022-06-06T17:58:00+02:00,183,34
2022-06-06T17:59:00+02:00,182,36
2022-06-06T18:00:00+02:00,187,36
2022-06-06T18:01:00+02:00,200,33
2022-06-06T18:02:00+02:00,194,35
2022-06-06T18:03:00+02:00,206,36
2022-06-06T18:04:00+02:00,213,35
2022-06-06T18:05:00+02:00,199,38
2022-06-06T18:06:00+02:00,201,37
2022-06-06T18:07:00+02:00,190,37
2022-06-06T18:08:00+02:00,179,37
2022-06-06T18:09:00+02:00,189,39
2022-06-06T18:10:00+02:00,171,35
2022-06-06T18:11:00+02:00,182,34
2022-06-06T18:12:00+02:00,178,33
2022-06-06T18:13:00+02:00,184,32
2022-06-06T18:14:00+02:00,179,30
2022-06-06T18:15:00+02:00,191,31
2022-06-06T18:16:00+02:00,186,32
2022-06-06T18:17:00+02:00,185,31
2022-06-06T18:18:00+02:00,171,31
2022-06-06T18:19:00+02:00,158,31
2022-06-06T18:20:00+02:00,159,32
2022-06-06T18:21:00+02:00,163,32
2022-06-06T18:22:00+02:00,166,33
2022-06-06T18:23:00+02:00,165,32
2022-06-06T18:24:00+02:00,177,35
2022-06-06T18:25:00+02:00,158,33
2022-06-06T18:26:00+02:00,166,35
2022-06-06T18:27:00+02:00,171,36
2022-06-06T18:28:00+02:00,168,34
2022-06-06T18:29:00+02:00,182,35
