date,optics,simple
2022-06-09T17:06:00+02:00,30,
2022-06-09T17:07:00+02:00,46,
2022-06-09T17:08:00+02:00,69,
2022-06-09T17:09:00+02:00,100,
2022-06-09T17:10:00+02:00,116,
2022-06-09T17:11:00+02:00,117,
2022-06-09T17:12:00+02:00,154,
2022-06-09T17:13:00+02:00,135,
2022-06-09T17:14:00+02:00,137,
2022-06-09T17:15:00+02:00,142,
2022-06-09T17:16:00+02:00,141,
2022-06-09T17:17:00+02:00,166,
2022-06-09T17:18:00+02:00,174,
2022-06-09T17:19:00+02:00,180,
2022-06-09T17:20:00+02:00,193,
2022-06-09T17:21:00+02:00,223,
2022-06-09T17:22:00+02:00,223,
2022-06-09T17:23:00+02:00,212,
2022-06-09T17:24:00+02:00,204,
2022-06-09T17:25:00+02:00,229,
2022-06-09T17:26:00+02:00,250,
2022-06-09T17:27:00+02:00,210,
2022-06-09T17:28:00+02:00,205,
2022-06-09T17:29:00+02:00,213,
2022-06-09T17:30:00+02:00,230,
2022-06-09T17:31:00+02:00,250,
2022-06-09T17:32:00+02:00,260,
2022-06-09T17:33:00+02:00,256,
2022-06-09T17:34:00+02:00,228,
2022-06-09T17:35:00+02:00,220,
2022-06-09T17:36:00+02:00,238,
2022-06-09T17:37:00+02:00,243,
2022-06-09T17:38:00+02:00,238,
2022-06-09T17:39:00+02:00,260,
2022-06-09T17:40:00+02:00,235,
2022-06-09T17:41:00+02:00,250,
2022-06-09T17:42:00+02:00,259,
2022-06-09T17:43:00+02:00,256,
2022-06-09T17:44:00+02:00,252,
2022-06-09T17:45:00+02:00,263,
2022-06-09T17:46:00+02:00,237,
2022-06-09T17:47:00+02:00,258,
2022-06-09T17:48:00+02:00,284,
2022-06-09T17:49:00+02:00,279,
2022-06-09T17:50:00+02:00,281,
2022-06-09T17:51:00+02:00,308,
2022-06-09T17:52:00+02:00,309,
2022-06-09T17:53:00+02:00,304,
2022-06-09T17:54:00+02:00,306,
2022-06-09T17:55:00+02:00,319,
2022-06-09T17:56:00+02:00,298,
2022-06-09T17:57:00+02:00,293,
2022-06-09T17:58:00+02:00,340,
2022-06-09T17:59:00+02:00,276,
2022-06-09T18:00:00+02:00,270,
2022-06-09T18:01:00+02:00,262,
2022-06-09T18:02:00+02:00,259,
2022-06-09T18:03:00+02:00,292,
2022-06-09T18:04:00+02:00,277,
2022-06-09T18:05:00+02:00,275,
2022-06-09T18:06:00+02:00,272,
2022-06-09T18:07:00+02:00,250,
2022-06-09T18:08:00+02:00,263,
2022-06-09T18:09:00+02:00,265,
2022-06-09T18:10:00+02:00,269,
2022-06-09T18:11:00+02:00,272,
2022-06-09T18:12:00+02:00,238,
2022-06-09T18:13:00+02:00,269,
2022-06-09T18:14:00+02:00,246,
2022-06-09T18:15:00+02:00,245,
2022-06-09T18:16:00+02:00,237,
2022-06-09T18:17:00+02:00,245,
2022-06-09T18:18:00+02:00,255,
