date,optics,simple
2022-06-07T16:59:00+02:00,18,
2022-06-07T17:00:00+02:00,40,
2022-06-07T17:01:00+02:00,60,
2022-06-07T17:02:00+02:00,63,
2022-06-07T17:03:00+02:00,74,
2022-06-07T17:04:00+02:00,76,
2022-06-07T17:05:00+02:00,93,
2022-06-07T17:06:00+02:00,100,
2022-06-07T17:07:00+02:00,109,
2022-06-07T17:08:00+02:00,134,
2022-06-07T17:09:00+02:00,141,
2022-06-07T17:10:00+02:00,149,
2022-06-07T17:11:00+02:00,151,
2022-06-07T17:12:00+02:00,161,
2022-06-07T17:13:00+02:00,159,
2022-06-07T17:14:00+02:00,166,
2022-06-07T17:15:00+02:00,153,
2022-06-07T17:16:00+02:00,178,
2022-06-07T17:17:00+02:00,179,
2022-06-07T17:18:00+02:00,164,
2022-06-07T17:19:00+02:00,154,
2022-06-07T17:20:00+02:00,164,
2022-06-07T17:21:00+02:00,176,
2022-06-07T17:22:00+02:00,162,
2022-06-07T17:23:00+02:00,172,
2022-06-07T17:24:00+02:00,143,
2022-06-07T17:25:00+02:00,132,
2022-06-07T17:26:00+02:00,144,
2022-06-07T17:27:00+02:00,149,
2022-06-07T17:28:00+02:00,156,
2022-06-07T17:29:00+02:00,153,
2022-06-07T17:30:00+02:00,169,
2022-06-07T17:31:00+02:00,139,
2022-06-07T17:32:00+02:00,149,
2022-06-07T17:33:00+02:00,157,
2022-06-07T17:34:00+02:00,141,
2022-06-07T17:35:00+02:00,152,
2022-06-07T17:36:00+02:00,154,
2022-06-07T17:37:00+02:00,149,
2022-06-07T17:38:00+02:00,147,
2022-06-07T17:39:00+02:00,136,
2022-06-07T17:40:00+02:00,138,
2022-06-07T17:41:00+02:00,150,
2022-06-07T17:42:00+02:00,144,
2022-06-07T17:43:00+02:00,142,
2022-06-07T17:44:00+02:00,129,
2022-06-07T17:45:00+02:00,144,
2022-06-07T17:46:00+02:00,137,
2022-06-07T17:47:00+02:00,140,
2022-06-07T17:48:00+02:00,150,
2022-06-07T17:49:00+02:00,138,
2022-06-07T17:50:00+02:00,153,
2022-06-07T17:51:00+02:00,149,
2022-06-07T17:52:00+02:00,162,
2022-06-07T17:53:00+02:00,154,
2022-06-07T17:54:00+02:00,153,
2022-06-07T17:55:00+02:00,144,
2022-06-07T17:56:00+02:00,144,
2022-06-07T17:57:00+02:00,155,
2022-06-07T17:58:00+02:00,161,
2022-06-07T17:59:00+02:00,160,
2022-06-07T18:00:00+02:00,162,
2022-06-07T18:01:00+02:00,169,
2022-06-07T18:02:00+02:00,159,
2022-06-07T18:03:00+02:00,168,
2022-06-07T18:04:00+02:00,176,
2022-06-07T18:05:00+02:00,175,
2022-06-07T18:06:00+02:00,190,
2022-06-07T18:07:00+02:00,192,
2022-06-07T18:08:00+02:00,183,
2022-06-07T18:09:00+02:00,183,
2022-06-07T18:10:00+02:00,163,
2022-06-07T18:11:00+02:00,189,
2022-06-07T18:12:00+02:00,200,
2022-06-07T18:13:00+02:00,198,
2022-06-07T18:14:00+02:00,185,
2022-06-07T18:15:00+02:00,211,
2022-06-07T18:16:00+02:00,195,
2022-06-07T18:17:00+02:00,219,
2022-06-07T18:18:00+02:00,200,
2022-06-07T18:19:00+02:00,196,
2022-06-07T18:20:00+02:00,187,
2022-06-07T18:21:00+02:00,178,
2022-06-07T18:22:00+02:00,170,
2022-06-07T18:23:00+02:00,171,
2022-06-07T18:24:00+02:00,186,
2022-06-07T18:25:00+02:00,185,
2022-06-07T18:26:00+02:00,178,
2022-06-07T18:27:00+02:00,154,
2022-06-07T18:28:00+02:00,172,
2022-06-07T18:29:00+02:00,169,
2022-06-07T18:30:00+02:00,179,
2022-06-07T18:31:00+02:00,176,
2022-06-07T18:32:00+02:00,165,
2022-06-07T18:33:00+02:00,181,
